date,description,amount,type,category,accounts,lat,long
3/13/2021,YouTubePremium,6.99,debit,Electronics & Software,Discover,41.1299018,-85.13768715
3/12/2021,CTS*FRONTIER ONLINEPAY,83.38,debit,Internet,CREDIT CARD,41.17662066,-85.168291
1/27/2021,Balance Transfer,3000,debit,Transfer,Mastercard Platinum,41.06858855,-85.20470036
3/12/2021,Orig Name Direct,1034.6,credit,Income,PLAT BUS CHECKING,41.1291112,-85.00718018
3/12/2021,TD AMERITRADE ACH IN a8CU GQK3UE WEB ID: 3470533629,3400,debit,Transfer,PREMIER PLUS CKG,41.01797358,-85.12228851
3/12/2021,NFCU ZELLE TRUC L HUYNH WEB ID: 1770527921,555,credit,Transfer,PREMIER PLUS CKG,41.12626614,-85.15897006
3/12/2021,DISCOVER E-PAYMENT 9565 WEB ID: 2510020270,100,debit,Credit Card Payment,PREMIER PLUS CKG,41.18157516,-85.13425085
3/12/2021,Sell Mutual Fund CHASE DEPOSIT SWEEP JPMORGAN CHASE BANK NA MANUAL WITHDRAWAL,0.09,credit,Sell,You Invest Trade,41.11669623,-85.12910843
3/11/2021,Payment Thank You-Mobile,275.18,credit,Credit Card Payment,CREDIT CARD,41.12380871,-85.13477325
3/11/2021,Online Transfer from CHK ...0110 transaction#: 11350767464,1600,credit,Transfer,PREMIER PLUS CKG,41.13402347,-85.16687393
3/11/2021,Chase card ending in 2458 03/11,275.18,debit,Credit Card Payment,PREMIER PLUS CKG,41.1299018,-85.13768715
3/11/2021,Orig Name Direct,972.5,credit,Income,PLAT BUS CHECKING,41.17662066,-85.168291
3/11/2021,Buy Stock MICROSOFT CORP REINVEST @ 236.382160,5.6,debit,Buy,You Invest Trade,41.06858855,-85.20470036
3/11/2021,Sell Stock MICROSOFT CORP J.P. MORGAN SECURITIES LLC MAKES A MARKET IN THIS SECURITY ADP-SECURITY-NO,5.61,credit,Sell,You Invest Trade,41.1291112,-85.00718018
3/11/2021,Investment Income MICROSOFT CORP RD 02/18 PD 03/11 CDRT .560 DIV ON 10.00000 SHS,5.6,credit,Investments,You Invest Trade,41.01797358,-85.12228851
3/10/2021,INTERNET PAYMENT - THANK YOU,100,credit,Credit Card Payment,Discover,41.12626614,-85.15897006
3/10/2021,CHECK dated 03/10 203,311.54,debit,Babysitter & Daycare,PLAT BUS CHECKING,41.18157516,-85.13425085
3/10/2021,Orig Name Direct,863.5,credit,Income,PLAT BUS CHECKING,41.11669623,-85.12910843
3/9/2021,Orig Name Direct,431.5,credit,Income,PLAT BUS CHECKING,41.12380871,-85.13477325
3/9/2021,CHECK dated 03/09 1017,400,debit,Babysitter & Daycare,PLAT BUS CHECKING,41.13402347,-85.16687393
3/9/2021,CHECK 204,273,debit,Check,PLAT BUS CHECKING,41.1299018,-85.13768715
3/9/2021,QuickPay with Zelle payment from TRIET HUYNH 11339334975,12.56,credit,Transfer,PREMIER PLUS CKG,41.17662066,-85.168291
3/9/2021,Internal Revenue Service,2395,credit,Federal Tax,PREMIER PLUS CKG,41.06858855,-85.20470036
3/9/2021,Verizon Wireless,171.57,debit,Mobile Phone,PREMIER PLUS CKG,41.1291112,-85.00718018
3/9/2021,CHECK dated 03/09 169,200,debit,Babysitter & Daycare,PREMIER PLUS CKG,41.01797358,-85.12228851
3/8/2021,QuickPay with Zelle payment to N ga han 11327858795,508.69,debit,Transfer,PLAT BUS CHECKING,41.12626614,-85.15897006
3/8/2021,Orig Name Direct,1465.94,credit,Income,PLAT BUS CHECKING,41.18157516,-85.13425085
3/8/2021,Orig Name Direct,1989.39,credit,Income,PLAT BUS CHECKING,41.11669623,-85.12910843
3/8/2021,Orig Name Direct,648.5,credit,Income,PLAT BUS CHECKING,41.12380871,-85.13477325
3/8/2021,QuickPay with Zelle payment to C hrystal 11327829833,372.71,debit,Transfer,PLAT BUS CHECKING,41.13402347,-85.16687393
